"Research that uses data from D-PLACE should cite both the original source(s) of the data and the paper by Kirby et al. in which D-PLACE was first presented (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001); Binford and Johnson (2006); Kirby et al. 2016)."" The reference list should include the date data were accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001), Binford and Johnson (2006), and Kirby et al. 2016."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: B004 Subsistence economy: Most important activity,Code: B004 Subsistence economy: Most important activity,Description: B004 Subsistence economy: Most important activity,Comment: B004 Subsistence economy: Most important activity,Subcase: B004 Subsistence economy: Most important activity,References: B004 Subsistence economy: Most important activity,Focal Year: B037 Ownership of resource locations ,Code: B037 Ownership of resource locations ,Description: B037 Ownership of resource locations ,Comment: B037 Ownership of resource locations ,Subcase: B037 Ownership of resource locations ,References: B037 Ownership of resource locations ,Focal Year: B031 Type of social class distinction,Code: B031 Type of social class distinction,Description: B031 Type of social class distinction,Comment: B031 Type of social class distinction,Subcase: B031 Type of social class distinction,References: B031 Type of social class distinction
Binford Hunter-Gatherer,Stó:lō,B279,xd1087,Stalo (B279),,,49.23,-122.7,49.23,-122.7,chil1281,Chiliwack,,Salishan,1880,3,Majority of a group's nutritional intake comes from aquatic resources,,,Cybulski (1990b); Duff (1952); Schalk (1978),1880,4,Elite ownership of land and resources,,,Cybulski (1990b); Duff (1952); Schalk (1978),1880,2,Wealth distinctions only,,,Cybulski (1990b); Duff (1952); Schalk (1978)
Binford Hunter-Gatherer,Mattole-Bear River,B169,xd1099,Mattole (B169),,,40.17,-124.04,40.17,-124.04,matt1238,Mattole,mvb,Athapaskan-Eyak-Tlingit,NA,3,Majority of a group's nutritional intake comes from aquatic resources,,,Cook (1956); Nomland (1938),NA,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Cook (1956); Nomland (1938),NA,1,Absence of any significant class distinctions,,,Cook (1956); Nomland (1938)
Binford Hunter-Gatherer,Eastern Mono,B202,xd1164,Owens Valley Paiute (Eastern Mono) (B202),,,36.88,-118.18,36.88,-118.18,mono1275,Mono (USA),mnr,Uto-Aztecan,1870,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Gifford (1926b); Liljeblad and Fowler (1986); Lowie (1909); Steward (1933); Steward (1938),1870,1,"No ownership reported, use rights recognized by others",,,Gifford (1926b); Liljeblad and Fowler (1986); Lowie (1909); Steward (1933); Steward (1938),1870,1,Absence of any significant class distinctions,,,Gifford (1926b); Liljeblad and Fowler (1986); Lowie (1909); Steward (1933); Steward (1938)
Binford Hunter-Gatherer,Nukak,B40,xd917,Nukak (B40),,,2.56,-71.81,2.56,-71.81,nuka1242,Nukak Makú,mbr,Kakua-Nukak,1990,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Politis (1992); Politis pers. comm. (1992); Politis pers. comm. (1993),1990,1,"No ownership reported, use rights recognized by others",,,Politis (1992); Politis pers. comm. (1992); Politis pers. comm. (1993),1990,1,Absence of any significant class distinctions,,,Politis (1992); Politis pers. comm. (1992); Politis pers. comm. (1993)
Binford Hunter-Gatherer,Shasta,B179,xd1093,Shasta (B179),,,41.62,-122.7,41.62,-122.7,shas1239,Shasta,sht,Shastan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Cook and Heizer (1965); Dixon (1907),1860,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Cook and Heizer (1965); Dixon (1907),1860,2,Wealth distinctions only,,,Cook and Heizer (1965); Dixon (1907)
Binford Hunter-Gatherer,Dorobo,B70,xd2,Dorobo (B70),Okiek,FL20,0.0,36.0,0.0,36.0,okie1245,Okiek,oki,Nilotic,1920,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Blackburn (1971); Huntingford (1929); Huntingford (1942); Huntingford (1951); Huntingford (1954); Huntingford (1955a); Wayland (1931),1920,1,"No ownership reported, use rights recognized by others",,,Blackburn (1971); Huntingford (1929); Huntingford (1942); Huntingford (1951); Huntingford (1954); Huntingford (1955a); Wayland (1931),1920,1,Absence of any significant class distinctions,,,Blackburn (1971); Huntingford (1929); Huntingford (1942); Huntingford (1951); Huntingford (1954); Huntingford (1955a); Wayland (1931)
Binford Hunter-Gatherer,Tiwi,B95,xd778,Tiwi (B95),Tiwi,OI20,-11.59,130.87,-11.59,130.87,tiwi1244,Tiwi,tiw,Tiwi,1920,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Goodale (1962); Hart (1970); Hart and Pilling (1960); Howells (1937); Peterson and Long (1986),1920,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Goodale (1962); Hart (1970); Hart and Pilling (1960); Howells (1937); Peterson and Long (1986),1920,1,Absence of any significant class distinctions,,,Goodale (1962); Hart (1970); Hart and Pilling (1960); Howells (1937); Peterson and Long (1986)
Binford Hunter-Gatherer,Diyari,B121,xd779,Dieri (B121),,,-28.54,139.09,-28.54,139.09,dier1241,Dieri,dif,Pama-Nyungan,1900,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Gason (1879); Howitt (1891); Sturt (1849a),1900,1,"No ownership reported, use rights recognized by others",,,Gason (1879); Howitt (1891); Sturt (1849a),1900,1,Absence of any significant class distinctions,,,Gason (1879); Howitt (1891); Sturt (1849a)
Binford Hunter-Gatherer,Holikachuk,B364,xd1013,Holikachuk (B364),,,63.33,-157.54,63.33,-157.54,holi1241,Holikachuk,hoi,Athapaskan-Eyak-Tlingit,1860,3,Majority of a group's nutritional intake comes from aquatic resources,,,Michael (1967); Snow (1981),1860,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Michael (1967); Snow (1981),1860,2,Wealth distinctions only,,,Michael (1967); Snow (1981)
Binford Hunter-Gatherer,White Knife Shoshoni,B216,xd1178,White Knife Shoshoni (B216),,,41.0,-117.31,41.0,-117.31,west2622,Western Shoshoni,,Uto-Aztecan,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Boas (1899); Ewers (1955); Harris (1940); Lowie (1924); Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Boas (1899); Ewers (1955); Harris (1940); Lowie (1924); Steward (1938),1860,1,Absence of any significant class distinctions,,,Boas (1899); Ewers (1955); Harris (1940); Lowie (1924); Steward (1938)
Binford Hunter-Gatherer,Iglulik Inuit,B384,xd1025,Iglulik Inuit (B384),,,69.45,-81.51,69.44,-81.51,west2618,Western Canadian Inuktitut,ikt,Eskimo-Aleut,1920,3,Majority of a group's nutritional intake comes from aquatic resources,,,Damas (1992); Hallowell (1929); Lyon (1924); Mathiassen (1928); Szathmary (1984),1920,1,"No ownership reported, use rights recognized by others",,,Damas (1992); Hallowell (1929); Lyon (1924); Mathiassen (1928); Szathmary (1984),1920,1,Absence of any significant class distinctions,,,Damas (1992); Hallowell (1929); Lyon (1924); Mathiassen (1928); Szathmary (1984)
Binford Hunter-Gatherer,Southern Aranda,B122,xd968,Southern Arenda (B122),,,-26.09,135.52,-26.09,135.52,lowe1436,Lower Southern Aranda,axl,Pama-Nyungan,1870,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Roberts (1953); Schulze (1891),1870,1,"No ownership reported, use rights recognized by others",,,Roberts (1953); Schulze (1891),1870,1,Absence of any significant class distinctions,,,Roberts (1953); Schulze (1891)
Binford Hunter-Gatherer,Mahaguaduka,B218,xd1169,Reese River Shoshoni (B218),Western,NT22,39.25,-117.32,39.25,-117.32,west2622,Western Shoshoni,,Uto-Aztecan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Steward (1938),1860,1,Absence of any significant class distinctions,,,Steward (1938)
Binford Hunter-Gatherer,Wiyot,B184,xd1097,Wiyot (B184),,,40.75,-124.14,40.75,-124.14,wiyo1248,Wiyot,wiy,Algic,1860,3,Majority of a group's nutritional intake comes from aquatic resources,,,Cook (1956); Gifford (1926b); Loud (1918); Schalk (1978),1860,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Cook (1956); Gifford (1926b); Loud (1918); Schalk (1978),1860,2,Wealth distinctions only,,,Cook (1956); Gifford (1926b); Loud (1918); Schalk (1978)
Binford Hunter-Gatherer,Hukwe,B67,xd929,Hukwe (B67),,,-16.93,24.32,-16.93,24.32,kxoe1243,Kxoe,xuu,Khoe-Kwadi,1950,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Clark (1951),1950,1,"No ownership reported, use rights recognized by others",,,Clark (1951),1950,1,Absence of any significant class distinctions,,,Clark (1951)
Binford Hunter-Gatherer,Klikitat,B318,xd1149,Yakima (B318),,,46.33,-120.27,46.33,-120.27,nucl1237,Nuclear Yakima,,Sahaptian,1880,3,Majority of a group's nutritional intake comes from aquatic resources,,,,1880,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,,1880,1,Absence of any significant class distinctions,,,
Binford Hunter-Gatherer,Yuki,B171,xd1138,Yuki (B171),Yuki,NS30,39.7,-123.15,39.7,-123.15,yuki1243,Yuki,yuk,Yuki-Wappo,1850,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Cook (1956); Foster (1944); Gifford (1926b),1850,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Cook (1956); Foster (1944); Gifford (1926b),1850,2,Wealth distinctions only,,,Cook (1956); Foster (1944); Gifford (1926b)
Binford Hunter-Gatherer,Inupiat,B380,xd1021,Point Hope Inuit (B380),,,68.41,-166.21,68.29,-166.62,poin1245,Point Hope Inupiatun,,Eskimo-Aleut,1880,3,Majority of a group's nutritional intake comes from aquatic resources,,,Burch (1975); Jenness (1922); Rainey (1947); Seltzer (1933),1880,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Burch (1975); Jenness (1922); Rainey (1947); Seltzer (1933),1880,2,Wealth distinctions only,,,Burch (1975); Jenness (1922); Rainey (1947); Seltzer (1933)
Binford Hunter-Gatherer,Larikia,B83,xd938,Larikia (B83),,,-12.6,130.79,-12.6,130.78,lara1258,Laragia,lrg,Laragia,1900,3,Majority of a group's nutritional intake comes from aquatic resources,,,Basedow (1907); Howells (1937); Parkhouse (1895),1900,1,"No ownership reported, use rights recognized by others",,,Basedow (1907); Howells (1937); Parkhouse (1895),1900,1,Absence of any significant class distinctions,,,Basedow (1907); Howells (1937); Parkhouse (1895)
Binford Hunter-Gatherer,Anindilyagwa,B97,xd776,Groote Eylandt (B97),,,-14.0,136.62,-14.0,136.62,anin1240,Anindilyakwa,aoi,Gunwinyguan,1930,3,Majority of a group's nutritional intake comes from aquatic resources,,,Peterson and Long (1986); Rose (1960); Tindale pers. comm. (1967),1930,1,"No ownership reported, use rights recognized by others",,,Peterson and Long (1986); Rose (1960); Tindale pers. comm. (1967),1930,1,Absence of any significant class distinctions,,,Peterson and Long (1986); Rose (1960); Tindale pers. comm. (1967)
Binford Hunter-Gatherer,/Xam,B79,xd8,/Xam (B79),,,-31.47,19.77,-31.47,19.77,xamm1241,/Xam,xam,Tuu,NA,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Bleek (1924a),NA,1,"No ownership reported, use rights recognized by others",,,Bleek (1924a),NA,1,Absence of any significant class distinctions,,,Bleek (1924a)
Binford Hunter-Gatherer,Jinibarra,B115,xd962,Jinibarra (B115),,,-27.25,152.87,-27.25,152.87,yaga1256,Yagara-Jandai,,Pama-Nyungan,1840,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Morwood (1987); Winterbotham (1980),1840,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Morwood (1987); Winterbotham (1980),1840,1,Absence of any significant class distinctions,,,Morwood (1987); Winterbotham (1980)
Binford Hunter-Gatherer,Northern Aranda,B124,xd772,Northern Arenda (B124),Aranda,OI08,-23.7,133.76,-23.7,133.76,east2379,Eastern Arrernte,aer,Pama-Nyungan,1900,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Binford field notes (1993); Long (1970); Roberts (1953); Spencer and Gillen (1899); Spencer and Gillen (1927),1900,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Binford field notes (1993); Long (1970); Roberts (1953); Spencer and Gillen (1899); Spencer and Gillen (1927),1900,1,Absence of any significant class distinctions,,,Binford field notes (1993); Long (1970); Roberts (1953); Spencer and Gillen (1899); Spencer and Gillen (1927)
Binford Hunter-Gatherer,Tillamook,B281,xd1080,Tillamook (B281),,,45.4,-123.82,45.4,-123.82,till1254,Tillamook,til,Salishan,NA,3,Majority of a group's nutritional intake comes from aquatic resources,,,Seaburg and Miller (1990); Taylor (1974a),NA,4,Elite ownership of land and resources,,,Seaburg and Miller (1990); Taylor (1974a),NA,2,Wealth distinctions only,,,Seaburg and Miller (1990); Taylor (1974a)
Binford Hunter-Gatherer,Guahibo,B39,xd1347,Guahibo (B39),,,5.38,-68.31,5.38,-68.31,guah1255,Guahibo,guh,Guahiboan,1960,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Hurtado and Hill (1986); Hurtado and Hill (1990); Kirchhoff (1945); Metzger (1968); Wilbert (1957),1960,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Hurtado and Hill (1986); Hurtado and Hill (1990); Kirchhoff (1945); Metzger (1968); Wilbert (1957),1960,1,Absence of any significant class distinctions,,,Hurtado and Hill (1986); Hurtado and Hill (1990); Kirchhoff (1945); Metzger (1968); Wilbert (1957)
Binford Hunter-Gatherer,Shompen,B4,xd901,Shompen (B4),,,7.0,93.77,7.0,93.77,shom1245,Shom Peng,sii,Shom Peng,1989,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Agrawal (1967); Rizvi (1990),1989,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Agrawal (1967); Rizvi (1990),1989,1,Absence of any significant class distinctions,,,Agrawal (1967); Rizvi (1990)
Binford Hunter-Gatherer,Efe,B64,xd927,Efe (B64),,,2.7,27.64,2.7,27.64,efee1239,Efe,efe,Central Sudanic,1980,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Bailey (1985); Bailey and Peacock (1988); Fisher (1987); Fisher and Strickland (1989); Peacock (1985); Schebesta (1962a),1980,1,"No ownership reported, use rights recognized by others",,,Bailey (1985); Bailey and Peacock (1988); Fisher (1987); Fisher and Strickland (1989); Peacock (1985); Schebesta (1962a),1980,1,Absence of any significant class distinctions,,,Bailey (1985); Bailey and Peacock (1988); Fisher (1987); Fisher and Strickland (1989); Peacock (1985); Schebesta (1962a)
Binford Hunter-Gatherer,Tjapwurong,B133,xd977,Tjapwurong (B133),,,-35.86,141.38,-35.86,141.38,djab1234,Djabwurrung,tjw,Pama-Nyungan,1850,3,Majority of a group's nutritional intake comes from aquatic resources,,,Williams (1985),1850,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Williams (1985),1850,1,Absence of any significant class distinctions,,,Williams (1985)
Binford Hunter-Gatherer,Nayaka,B21,xd914,Nayaka (B21),,,11.9,77.21,11.9,77.21,jenn1240,Jennu Kurumba,xuj,Dravidian,1978,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Bird (1983); Bird-David (1987),1978,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Bird (1983); Bird-David (1987),1978,1,Absence of any significant class distinctions,,,Bird (1983); Bird-David (1987)
Binford Hunter-Gatherer,Plains Cree,B258,xd1218,Plains Cree (B258),,,51.86,-102.67,51.86,-102.67,plai1258,Plains Cree,crk,Algic,1850,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Bamforth (1988); Bushnell (1922); Mandelbaum (1940),1850,1,"No ownership reported, use rights recognized by others",,,Bamforth (1988); Bushnell (1922); Mandelbaum (1940),1850,1,Absence of any significant class distinctions,,,Bamforth (1988); Bushnell (1922); Mandelbaum (1940)
Binford Hunter-Gatherer,Andamanese,B8,xd686,Big Andaman Island (B8),Andamans,AZ02,13.32,92.89,13.32,92.89,akab1249,Aka-Bea,abj,Great Andamanese,1870,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Man (1883); Radcliffe-Brown (1948); Whiting (1964),1870,1,"No ownership reported, use rights recognized by others",,,Man (1883); Radcliffe-Brown (1948); Whiting (1964),1870,1,Absence of any significant class distinctions,,,Man (1883); Radcliffe-Brown (1948); Whiting (1964)
Binford Hunter-Gatherer,Wappo,B172,xd1119,Wappo (B172),,,38.59,-122.54,38.59,-122.54,wapp1239,Wappo,wao,Yuki-Wappo,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Barrett (1908); Cook (1956); Cook and Heizer (1965); Driver (1936),1860,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Barrett (1908); Cook (1956); Cook and Heizer (1965); Driver (1936),1860,2,Wealth distinctions only,,,Barrett (1908); Cook (1956); Cook and Heizer (1965); Driver (1936)
Binford Hunter-Gatherer,Ildawongga,B112,xd959,Ildawongga (B112),,,-22.93,127.18,-22.93,127.18,wanm1242,Wanman,wbt,Pama-Nyungan,1968,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Peterson and Long (1986),1968,1,"No ownership reported, use rights recognized by others",,,Peterson and Long (1986),1968,1,Absence of any significant class distinctions,,,Peterson and Long (1986)
Binford Hunter-Gatherer,Nunamiut,B377,xd1029,Nunamiut Inuit (B377),,,68.18,-151.71,68.18,-151.71,anak1241,Anaktuvik Pass Inupiatun,,Eskimo-Aleut,1950,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Amsden (1977); Binford (1971); Binford (1991a); Binford and Chasko (1976); Jamison (1978),1950,1,"No ownership reported, use rights recognized by others",,,Amsden (1977); Binford (1971); Binford (1991a); Binford and Chasko (1976); Jamison (1978),1950,1,Absence of any significant class distinctions,,,Amsden (1977); Binford (1971); Binford (1991a); Binford and Chasko (1976); Jamison (1978)
Binford Hunter-Gatherer,Mono Lake Northern Paiute,B205,xd989,Mono Lake Paiute (B205),,,38.11,-118.45,38.11,-118.45,sout2967,South Northern Paiute,,Uto-Aztecan,1870,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Davis (1965),1870,1,"No ownership reported, use rights recognized by others",,,Davis (1965),1870,1,Absence of any significant class distinctions,,,Davis (1965)
Binford Hunter-Gatherer,Great Whale Inuit,B373,xd1017,Great Whale Inuit (B373),,,55.32,-77.69,55.32,-77.69,queb1248,Quebec Eskimo,,Eskimo-Aleut,1890,3,Majority of a group's nutritional intake comes from aquatic resources,,,Barger (1981); Saladin d'Anglure (1984); Willmott (1960),1890,1,"No ownership reported, use rights recognized by others",,,Barger (1981); Saladin d'Anglure (1984); Willmott (1960),1890,2,Wealth distinctions only,,,Barger (1981); Saladin d'Anglure (1984); Willmott (1960)
Binford Hunter-Gatherer,Eastern Pomo,B158,xd1116,Eastern Pomo (B158),Pomo,NS18,39.03,-122.94,39.03,-122.94,east2545,Eastern Pomo,peb,Pomoan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Barrett (1908); Gifford (1926b); Loeb (1926b),1860,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Barrett (1908); Gifford (1926b); Loeb (1926b),1860,2,Wealth distinctions only,,,Barrett (1908); Gifford (1926b); Loeb (1926b)
Binford Hunter-Gatherer,Kaska,B346,xd1056,Kaska (B346),Kaska,ND12,59.73,-125.0,59.73,-125.0,kask1239,Kaska,kkz,Athapaskan-Eyak-Tlingit,1920,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Honigmann (1949); Honigmann (1954),1920,1,"No ownership reported, use rights recognized by others",,,Honigmann (1949); Honigmann (1954),1920,1,Absence of any significant class distinctions,,,Honigmann (1949); Honigmann (1954)
Binford Hunter-Gatherer,Gidjingali,B87,xd774,Gidjingali (B87),,,-12.18,134.4,-12.18,134.4,gunn1248,Gun-narda,,Maningrida,1950,3,Majority of a group's nutritional intake comes from aquatic resources,,,Hiatt (1965); Long (1970); Peterson (1972); Peterson and Long (1986),1950,1,"No ownership reported, use rights recognized by others",,,Hiatt (1965); Long (1970); Peterson (1972); Peterson and Long (1986),1950,1,Absence of any significant class distinctions,,,Hiatt (1965); Long (1970); Peterson (1972); Peterson and Long (1986)
Binford Hunter-Gatherer,Worrorra,B100,xd949,Worora (B100),,,-15.32,124.72,-15.32,124.72,worr1237,Worrorra,wro,Worrorran,NA,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Blundell (1975); Blundell (1980); Love (1917); Love (1936),NA,1,"No ownership reported, use rights recognized by others",,,Blundell (1975); Blundell (1980); Love (1917); Love (1936),NA,1,Absence of any significant class distinctions,,,Blundell (1975); Blundell (1980); Love (1917); Love (1936)
Binford Hunter-Gatherer,Kalaallit (West Greenland),B385,xd1041,West Greenland (B385),,,69.31,-50.21,69.31,-50.21,west2617,West Greenlandic,,Eskimo-Aleut,1880,3,Majority of a group's nutritional intake comes from aquatic resources,,,Birket-Smith (1928a); Grønnow et al. (1983); Hansen (1914); Perry (1898); Rink (1875); Rink (1877); York (1875),1880,1,"No ownership reported, use rights recognized by others",,,Birket-Smith (1928a); Grønnow et al. (1983); Hansen (1914); Perry (1898); Rink (1875); Rink (1877); York (1875),1880,1,Absence of any significant class distinctions,,,Birket-Smith (1928a); Grønnow et al. (1983); Hansen (1914); Perry (1898); Rink (1875); Rink (1877); York (1875)
Binford Hunter-Gatherer,Tehuelche,B51,xd1386,Tehuelche (B51),Tehuelche,SH05,-46.0,-68.7,-46.0,-68.7,tehu1242,Tehuelche,teh,Chonan,1870,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Boschin and Macuzzi (1979); Cooper (1946c); Goni (1988); Lothrop (1928),1870,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Boschin and Macuzzi (1979); Cooper (1946c); Goni (1988); Lothrop (1928),1870,2,Wealth distinctions only,,,Boschin and Macuzzi (1979); Cooper (1946c); Goni (1988); Lothrop (1928)
Binford Hunter-Gatherer,Ket,B24,xd636,Ket (B24),,,62.0,90.0,62.0,90.0,kett1243,Ket,ket,Yeniseian,1900,3,Majority of a group's nutritional intake comes from aquatic resources,,,Lee (1967); Shimkin (1939),1900,4,Elite ownership of land and resources,,,Lee (1967); Shimkin (1939),1900,2,Wealth distinctions only,,,Lee (1967); Shimkin (1939)
Binford Hunter-Gatherer,Nunggubuyu,B92,xd944,Nunggubuyu (B92),,,-13.76,135.98,-13.76,135.98,nung1290,Wubuy,nuy,Gunwinyguan,1960,3,Majority of a group's nutritional intake comes from aquatic resources,,,Biernoff (1979); Howells (1937); McArthur (1960); Thomson (1949),1960,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Biernoff (1979); Howells (1937); McArthur (1960); Thomson (1949),1960,1,Absence of any significant class distinctions,,,Biernoff (1979); Howells (1937); McArthur (1960); Thomson (1949)
Binford Hunter-Gatherer,Hadza,B69,xd9,Hadza (B69),,,-3.82,35.32,-3.82,35.32,hadz1240,Hadza,hts,Hadza,1910,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Bleek (1931a); Blurton-Jones et al. (1992); Hawkes et al. (1989); Lee and Devore (1968a); O'Connell et al. (1991); O'Connell pers. comm. (1977); O'Connell pers. comm. (1982); Woodburn (1968b),1910,1,"No ownership reported, use rights recognized by others",,,Bleek (1931a); Blurton-Jones et al. (1992); Hawkes et al. (1989); Lee and Devore (1968a); O'Connell et al. (1991); O'Connell pers. comm. (1977); O'Connell pers. comm. (1982); Woodburn (1968b),1910,1,Absence of any significant class distinctions,,,Bleek (1931a); Blurton-Jones et al. (1992); Hawkes et al. (1989); Lee and Devore (1968a); O'Connell et al. (1991); O'Connell pers. comm. (1977); O'Connell pers. comm. (1982); Woodburn (1968b)
Binford Hunter-Gatherer,Sinkyone,B166,xd1100,Sinkyone (B166),,,40.1,-123.96,40.1,-123.96,wail1244,Wailaki,wlk,Athapaskan-Eyak-Tlingit,1860,3,Majority of a group's nutritional intake comes from aquatic resources,,,Cook (1956); Goddard (1923); Nomland (1935),1860,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Cook (1956); Goddard (1923); Nomland (1935),1860,2,Wealth distinctions only,,,Cook (1956); Goddard (1923); Nomland (1935)
Binford Hunter-Gatherer,Kutenai,B250,xd1205,Kutenai (B250),,,47.48,-114.08,47.48,-114.08,kute1249,Kutenai,kut,Kutenai,1880,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Chamberlain (1892); Turney-High (1941),1880,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Chamberlain (1892); Turney-High (1941),1880,2,Wealth distinctions only,,,Chamberlain (1892); Turney-High (1941)
Binford Hunter-Gatherer,Hill Pandaram,B11,xd905,Hill Pandaran (B11),,,9.25,77.25,9.25,77.25,mala1468,Malapandaram,mjp,Dravidian,1972,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Morris (1982a),1972,1,"No ownership reported, use rights recognized by others",,,Morris (1982a),1972,1,Absence of any significant class distinctions,,,Morris (1982a)
Binford Hunter-Gatherer,Mi'kmaq,B329,xd1058,Micmac (B329),Mi'kmaq,NJ05,46.99,-65.0,46.99,-65.0,mikm1235,Mi'kmaq,mic,Algic,1700,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Boas (1895a); Speck (1922); Speck and Dexter (1951); Wallis and Wallis (1955),1700,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Boas (1895a); Speck (1922); Speck and Dexter (1951); Wallis and Wallis (1955),1700,2,Wealth distinctions only,,,Boas (1895a); Speck (1922); Speck and Dexter (1951); Wallis and Wallis (1955)
Binford Hunter-Gatherer,Palawan Batak,B2,xd900,Batek (B2),,,10.03,119.09,10.0,119.11,bata1301,Batak,bya,Austronesian,1968,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Cadelina (1982); Eder (1978); Eder (1984); Eder (1987); Warren (1964),1968,4,Elite ownership of land and resources,,,Cadelina (1982); Eder (1978); Eder (1984); Eder (1987); Warren (1964),1968,1,Absence of any significant class distinctions,,,Cadelina (1982); Eder (1978); Eder (1984); Eder (1987); Warren (1964)
